call_id,iteration,stage_id,check_item,status,evidence,notes
initial_00_latex_template,1,latex_template,completion_conditions,pass,"## 必需输入
```text
- workflow_state.yaml
- config/execution_policy.yaml
- templates/ 或 02_latex_template/
```

## 必需输出
```text
- 可编译或可诊断的 LaTeX 主文件和章节骨架
- 中文论文结构说明或模板初始化记录
- 图表、公式、引用标签命名规则说明
- 阶段总结
- 风险报告
- 合同更新说明
- 校验状态说明
```

## 完成条件
```text
- 必需输出存在，或阻塞项已明确记录。
- 模板只提供结构，不包含当前题目事实。
- 合同更新说明符合权限。
- 校验命令已运行，或如实记录未运行状态。
- 人工确认问题已给出。
- 完成本阶段不需要任何禁止动作。
```",
initial_01_intake,1,intake,completion_conditions,pass,"## 必需输入
```text
- workflow_state.yaml
- config/execution_policy.yaml
- 00_problem/inbox/
```

## 必需输出
```text
- 00_problem/problem_statement.md
- 00_problem/attachments_overview.md
- 01_task_analysis/missing_information.md
- 题面事实清单：变量、单位、对象、时空范围、目标、约束、显式交付物
- 阶段总结和风险说明
```

## 完成条件
```text
- 题面和附件状态已记录。
- 变量、单位、对象、约束和交付要求已尽力抽取。
- 不确定信息已进入 missing_information。
- 未产生任何模型、结果或论文结论。
- 未触发本阶段禁止动作。
```",
initial_02_eda,1,eda,completion_conditions,pass,"## 必需输入
```text
- workflow_state.yaml
- config/execution_policy.yaml
- 03_data/raw/ 或已登记数据说明
```

## 必需输出
```text
- 数据字典或字段说明
- 数据质量报告
- EDA 摘要
- 探索性图表或未生成图表的原因
- 可复现性风险说明
- 阶段总结
```

## 完成条件
```text
- 数据质量和字段含义风险已记录。
- EDA 产物没有被当作冻结结果。
- 探索性图表未被登记为正式论文图。
- 下游模型路由可以读取本阶段摘要。
- 未触发本阶段禁止动作。
```",
initial_03_task_analysis,1,task_analysis,completion_conditions,pass,"## 必需输入
```text
- 00_problem/problem_statement.md
- 00_problem/attachments_overview.md
- 03_data/data_quality_report.md（如已有数据）
```

## 必需输出
```text
- 01_task_analysis/task_decomposition.md
- 01_task_analysis/problem_model_profile.csv
- 01_task_analysis/question_dependency_map.md 或同等说明
- 子问题输入/输出/风险/交付物矩阵
- 阶段总结和风险说明
```

## 完成条件
```text
- 每个子问题都有输入、输出、依赖和风险描述。
- problem_model_profile.csv 能支持先验检索和模型路由。
- 后续阶段能读取问题画像。
- 未产生越权模型结论。
- 未触发本阶段禁止动作。
```",
initial_04_prior_retrieval,1,prior_retrieval,completion_conditions,pass,"## 必需输入
```text
- config/prior_db_policy.yaml
- 01_task_analysis/problem_model_profile.csv
```

## 必需输出
```text
- 13_prior_db/pre_solve_cards.md 或等价经验卡片
- copy-risk 或风险说明
- 与 problem_model_profile.csv 对齐的模型族、图表族、评分风险摘要
- 阶段总结
```

## 完成条件
```text
- 输出只包含经验卡片和风险提示。
- 没有历史论文可复制文本。
- 每条建议标明 advisory_only。
- 下游模型路由能读取卡片 ID 或提示。
- 未触发本阶段禁止动作。
```",
initial_05_model_route,1,model_route,completion_conditions,pass,"## 必需输入
```text
- 01_task_analysis/task_decomposition.md
- 01_task_analysis/problem_model_profile.csv
- 03_data/data_quality_report.md
```

## 必需输出
```text
- 05_model/model_route.md
- 05_model/fallback_plan.md
- 05_model/symbols.md 或等价符号说明
- 每个子问题的主模型、备选模型、验证方案和图表表达建议
- 14_contracts/formula_contract.csv 草稿行（如有重要公式）
- 阶段总结和人工闸门说明
```

## 完成条件
```text
- 每个子问题有主模型、备选模型、验证方案和风险说明。
- 重要公式已登记或说明暂不登记。
- 模型路线不依赖历史论文答案。
- 等待或完成人工模型路线确认。
- 未触发本阶段禁止动作。
```",
initial_06_codegen,1,codegen,completion_conditions,pass,"## 必需输入
```text
- 05_model/model_route.md
- 05_model/fallback_plan.md
- 03_data/ 或已确认数据源
```

## 必需输出
```text
- 对应问题的代码文件
- 运行日志
- 候选结果文件
- 随机种子、依赖、输入文件和输出文件说明
- 失败或复现风险说明
```

## 完成条件
```text
- 指定问题代码存在并可解释。
- 运行日志和真实候选结果已保存。
- 候选结果可追踪到输入、代码、run_id 和输出文件。
- 没有把候选结果直接写成论文结论。
- 未触发本阶段禁止动作。
```",
initial_07_results_freeze,1,results_freeze,completion_conditions,pass,"## 必需输入
```text
- 07_results/ 中真实模型输出
- 06_code/ 运行日志
- 14_contracts/result_contract.csv
```

## 必需输出
```text
- 07_results/result_freeze_report.md
- 14_contracts/result_contract.csv 中冻结或待冻结行
- 14_contracts/artifact_freeze_registry.csv 中相关条目
- 每个结果的 source_file、source_row_or_cell、code_file、run_id、random_seed 和 freeze_status 说明
- 阶段总结和人工闸门说明
```

## 完成条件
```text
- 每个论文可用结果都有来源文件、代码文件、指标名称和指标值。
- 冻结状态与人工复核一致。
- 下游图表和论文只能读取冻结结果。
- 不确定结果已标记 blocked 或 draft。
- 未触发本阶段禁止动作。
```",
initial_08_figures,1,figures,completion_conditions,pass,"## 必需输入
```text
- 14_contracts/result_contract.csv
- 14_contracts/figure_contract.csv
- 07_results/ 中冻结结果来源
```

## 必需输出
```text
- 图表文件
- 图表蓝图或图表设计说明
- 14_contracts/figure_contract.csv 更新
- 图表质量或风险说明
- 阶段总结
- 所有正式图表中的标题、坐标轴、图例、注释、节点文字和说明文字必须为中文；图片生成提示词也必须明确要求图中文字为中文。
```

## 完成条件
```text
- 论文候选图都有真实文件和合同记录。
- 图表与冻结结果或论断绑定。
- 图表类型、数量和章节分布服务论证且不冲突。
- 下游论文可安全引用已登记图。
- 图中文字已检查为中文。
- 未触发本阶段禁止动作。
```",
initial_09_paper_draft,1,paper_draft,completion_conditions,pass,"## 必需输入
```text
- 14_contracts/claim_evidence_map.csv
- 14_contracts/result_contract.csv
- 14_contracts/figure_contract.csv
- 14_contracts/formula_contract.csv
- 14_contracts/citation_contract.csv
```

## 必需输出
```text
- 指定章节草稿
- 09_paper/missing_evidence_report.md（如有缺口）
- 章节论断记录或更新
- 章节图表/公式/引用使用清单
- 阶段总结
- 指定章节草稿必须为中文；图表标题、图注和正文中对图表的解释必须使用中文。
```

## 完成条件
```text
- 章节文本可追踪到合同。
- 缺失证据已显式记录。
- 没有越权写入未证实结论。
- 图表、表格、公式和引用密度足以支撑章节核心论证，或缺口已记录。
- 章节正文、图注和表注为中文。
- 未触发本阶段禁止动作。
```",
