artifact_id,artifact_type,path,hash_sha256,producing_stage,freeze_reason,freeze_time,protected_atoms,allowed_changes,owner,status,notes
RF-PACKAGE,manifest,07_results/ready_for_freeze/ready_for_freeze_manifest.json,7e8d7654f6b2d61c3e50a8c3177f88eeb1cb50a716ba3e434fe49c40dbe78b18,result_freeze,Numerical evidence passed; package is ready for human gate review.,2026-07-22T11:53:23.725660+00:00,plans;coordinates;durations;intervals;template cells,Only a new reproducible verification run with a new package ID.,Codex,ready,Human result_freeze_gate pending; not frozen by AI.
RF-METRICS,metrics,07_results/ready_for_freeze/metrics_summary.csv,072481adc8817fe4a8a1650be4b921edbb66f90b4f37db71a31f1f4269a7dad3,result_freeze,Numerical evidence passed; package is ready for human gate review.,2026-07-22T11:53:23.725660+00:00,plans;coordinates;durations;intervals;template cells,Only a new reproducible verification run with a new package ID.,Codex,ready,Human result_freeze_gate pending; not frozen by AI.
RF-Q1,plan_detail,07_results/ready_for_freeze/q1_results.csv,8873bb8b450baf71bcf8f89926b3db734fdf4ecfa89279350da977dd70f5cff1,result_freeze,Numerical evidence passed; package is ready for human gate review.,2026-07-22T11:53:23.725660+00:00,plans;coordinates;durations;intervals;template cells,Only a new reproducible verification run with a new package ID.,Codex,ready,Human result_freeze_gate pending; not frozen by AI.
RF-Q2,plan_detail,07_results/ready_for_freeze/q2_results.csv,caa460ad35f715c28b35f7ad1c40735488525a25b5c5d242cff004d835ac0f9d,result_freeze,Numerical evidence passed; package is ready for human gate review.,2026-07-22T11:53:23.725660+00:00,plans;coordinates;durations;intervals;template cells,Only a new reproducible verification run with a new package ID.,Codex,ready,Human result_freeze_gate pending; not frozen by AI.
RF-Q3,plan_detail,07_results/ready_for_freeze/q3_results.csv,d0fffd18369642acaefca274296f8cc536f454845cba6a45fb50f0028a038d23,result_freeze,Numerical evidence passed; package is ready for human gate review.,2026-07-22T11:53:23.725660+00:00,plans;coordinates;durations;intervals;template cells,Only a new reproducible verification run with a new package ID.,Codex,ready,Human result_freeze_gate pending; not frozen by AI.
RF-Q4,plan_detail,07_results/ready_for_freeze/q4_results.csv,2aaf308220ebb05c560bbea191654f37e91743798345270301d3c2984aeed68d,result_freeze,Numerical evidence passed; package is ready for human gate review.,2026-07-22T11:53:23.725660+00:00,plans;coordinates;durations;intervals;template cells,Only a new reproducible verification run with a new package ID.,Codex,ready,Human result_freeze_gate pending; not frozen by AI.
RF-Q5,plan_detail,07_results/ready_for_freeze/q5_results.csv,52c8261e6e80722bfba7674dbecf438a65b198627f4f7ce049ba182ca6960e20,result_freeze,Numerical evidence passed; package is ready for human gate review.,2026-07-22T11:53:23.725660+00:00,plans;coordinates;durations;intervals;template cells,Only a new reproducible verification run with a new package ID.,Codex,ready,Human result_freeze_gate pending; not frozen by AI.
RF-TEMPLATE-1,official_template,07_results/ready_for_freeze/result1.xlsx,0ab973de0344304447c11b6be48d21df41ac554b15d813dcc3980d9a62cdb1ec,result_freeze,Numerical evidence passed; package is ready for human gate review.,2026-07-22T11:53:23.725660+00:00,plans;coordinates;durations;intervals;template cells,Only a new reproducible verification run with a new package ID.,Codex,ready,Human result_freeze_gate pending; not frozen by AI.
RF-TEMPLATE-2,official_template,07_results/ready_for_freeze/result2.xlsx,f4b72f39d8b78a5f5a97da63e79ced1a4421ca5f4392e40b7668953458c25c0a,result_freeze,Numerical evidence passed; package is ready for human gate review.,2026-07-22T11:53:23.725660+00:00,plans;coordinates;durations;intervals;template cells,Only a new reproducible verification run with a new package ID.,Codex,ready,Human result_freeze_gate pending; not frozen by AI.
RF-TEMPLATE-3,official_template,07_results/ready_for_freeze/result3.xlsx,108984d14cc940944a0d0a14a79383275abe58c3843c883833ba72fc9a1a24a7,result_freeze,Numerical evidence passed; package is ready for human gate review.,2026-07-22T11:53:23.725660+00:00,plans;coordinates;durations;intervals;template cells,Only a new reproducible verification run with a new package ID.,Codex,ready,Human result_freeze_gate pending; not frozen by AI.
