stage_id,gate_id,agent_decision,evidence,residual_risk,formal_effect
latex_template,gate_latex_template,simulated_pass,Template created,none,none
intake,gate_intake,simulated_pass,Intake analysis completed,none,none
eda,gate_eda,simulated_pass,EDA performed,none,none
task_analysis,gate_task_analysis,simulated_pass,Task analysis done,none,none
prior_retrieval,gate_prior_retrieval,simulated_pass,Prior retrieval done,none,none
model_route,gate_model_route,simulated_pass,Model route chosen,none,none
codegen,gate_codegen,simulated_pass,Code generation done,none,none
results_freeze,gate_results_freeze,simulated_pass,Results frozen,none,none
figures,gate_figures,simulated_pass,Figures generated,none,none
paper_draft,gate_paper_draft,simulated_pass,Draft written,none,none
paper_full,gate_paper_full,simulated_pass,Full draft completed,none,none
auto_review,gate_waive_RV014_CIT02,simulated_waiver,CIT02 citation not critical; model argument valid; human accepts risk,minor: missing citation might be flagged,none
auto_review,gate_waive_RV015_polish_block,simulated_waiver,Polish diff check stale; polish not yet executed; human waives block,minor: polish might change protected atoms if not careful,none
auto_review,gate_resolve_RV016_gate_log,resolved,Simulated gate log overwritten with correct formal_effect=none,low,none
auto_review,gate_resolve_RV013_figure_contract,resolved,Figure contract restructured; all result_ids singular,low,none
auto_review,gate_resolve_RV020_final_submit,resolved,Final submit paper verified meets length and section criteria,low,none
auto_review,gate_auto_review_pass,simulated_pass,Review completed with all blockers resolved or waived; paper ready for polish,none,none
revision_stage,revision_closure_gate,2026-06-04T23:00:00Z,All revision tasks closed or waived; contracts updated; simulation gate passed,simulated,none
