formula_id,question_id,section_id,formula_latex,symbols_defined,assumption_ids,derivation_source,used_in_section,latex_label,depends_on_formula_ids,validation_note,status,owner,last_checked
FML001,Q1-Q5,4.1,"\mathbf e_{Mj}=-\mathbf m_{j0}/\|\mathbf m_{j0}\|,\quad \mathbf m_j(t)=\mathbf m_{j0}+v_M\mathbf e_{Mj}t,\quad t_j^{\mathrm{hit}}=\|\mathbf m_{j0}\|/v_M","j:导弹索引; \mathbf m_{j0}:导弹初始位置; \mathbf e_{Mj}:单位方向; v_M:导弹速度; t:任务时刻; t_j^{hit}:到达原点时刻",A01,10_ai_logs/handoffs/H-21D19FE5FD2C/chatgpt_response.md#4.1,模型与方法/导弹运动学,eq:missile-trajectory,,以M1/M2/M3题面坐标复算到达时刻；仅统计t≤t_j^{hit},ready,ChatGPT决策/Codex转写,2026-07-22
FML002,Q1-Q5,4.2,"\mathbf e_i(\theta_i)=(\cos\theta_i,\sin\theta_i,0)^{\mathsf T},\quad \mathbf u_i(t)=\mathbf u_{i0}+v_i\mathbf e_i(\theta_i)t,\quad 70\le v_i\le140,\ 0\le\theta_i<2\pi","i:无人机索引; \mathbf u_{i0}:无人机初始位置; \theta_i:水平航向; v_i:无人机速度; t:任务时刻",A02,10_ai_logs/handoffs/H-21D19FE5FD2C/chatgpt_response.md#4.2,模型与方法/无人机运动学,eq:uav-trajectory,,检查z分量恒定；检查速度与航向范围,ready,ChatGPT决策/Codex转写,2026-07-22
FML003,Q1-Q5,4.3,"\mathbf b_{ik}(t)=\mathbf u_{i0}+v_i\mathbf e_i(\theta_i)t-\tfrac12g(t-r_{ik})^2\mathbf e_z,\quad r_{ik}\le t\le d_{ik}","i:无人机索引; k:炸弹索引; \mathbf b_{ik}:起爆前炸弹位置; r_{ik}:投放时刻; d_{ik}:起爆时刻; g:重力加速度; \mathbf e_z:(0,0,1)^{\mathsf T}",A03;A04,10_ai_logs/handoffs/H-21D19FE5FD2C/chatgpt_response.md#4.3,模型与方法/干扰弹运动学,eq:bomb-trajectory,FML002,在t=r_{ik}验证位置等于无人机位置且速度继承水平速度,ready,ChatGPT决策/Codex转写,2026-07-22
FML004,Q1-Q5,4.4,"d_{ik}=r_{ik}+\tau_{ik},\quad \mathbf p^{\mathrm{det}}_{ik}=\mathbf u_{i0}+v_i\mathbf e_i(\theta_i)d_{ik}-\tfrac12g\tau_{ik}^2\mathbf e_z,\quad 0\le\tau_{ik}\le\sqrt{2z_{i0}/g}","\tau_{ik}:投放至起爆延迟; \mathbf p^{det}_{ik}:起爆点; z_{i0}:无人机初始高度; g:重力加速度; d_{ik}:起爆时刻",A03;A04;A06,10_ai_logs/handoffs/H-21D19FE5FD2C/chatgpt_response.md#4.4,模型与方法/投放与起爆,eq:detonation,FML002;FML003,验证起爆点高度非负；Q1固定\tau=3.6 s,ready,ChatGPT决策/Codex转写,2026-07-22
FML005,Q1-Q5,4.5,"\mathbf c_{ik}(t)=\mathbf p^{\mathrm{det}}_{ik}-w_s(t-d_{ik})\mathbf e_z,\quad t^{\mathrm{end}}_{ik}=\min(d_{ik}+T_s,\ d_{ik}+z^{\mathrm{det}}_{ik}/w_s)","\mathbf c_{ik}:烟幕中心; w_s:下沉速度; T_s:物理有效期; z^{det}_{ik}:起爆高度; d_{ik}:起爆时刻; t^{end}_{ik}:烟幕有效终点",A05;A07,10_ai_logs/handoffs/H-21D19FE5FD2C/chatgpt_response.md#4.5,模型与方法/烟幕运动学,eq:smoke-trajectory,FML004,验证中心在t=d时等于起爆点且终点不晚于20 s有效期,ready,ChatGPT决策/Codex转写,2026-07-22
FML006,Q1-Q5,5,"\mathcal C_T=\{(x,y,z):x^2+(y-200)^2\le R_T^2,\ 0\le z\le H_T\},\quad \mathcal S=\mathcal S_{side}\cup\mathcal S_{top}\cup\mathcal S_{bottom}","\mathcal C_T:真目标圆柱; R_T:圆柱半径7 m; H_T:圆柱高度10 m; \mathcal S:确定性代表点集",A08,10_ai_logs/handoffs/H-21D19FE5FD2C/chatgpt_response.md#5,模型与方法/真目标几何,eq:target-cylinder,,代表点集须含侧面、顶面和底面并做加密收敛检查,ready,ChatGPT决策/Codex转写,2026-07-22
FML007,Q1-Q5,6.1,"\lambda_{ikjq}(t)=\frac{[\mathbf c_{ik}(t)-\mathbf m_j(t)]^{\mathsf T}[\mathbf q-\mathbf m_j(t)]}{\|\mathbf q-\mathbf m_j(t)\|^2},\quad \delta_{ikjq}(t)=\|\mathbf c_{ik}(t)-\mathbf m_j(t)-\lambda_{ikjq}(t)[\mathbf q-\mathbf m_j(t)]\|","\lambda_{ikjq}:视线投影参数; \delta_{ikjq}:烟幕中心到视线垂距; \mathbf q:目标代表点; \mathbf c_{ik}:烟幕中心; \mathbf m_j:导弹位置",A08,10_ai_logs/handoffs/H-21D19FE5FD2C/chatgpt_response.md#6.1,模型与方法/视线几何,eq:los-clearance,FML001;FML005;FML006,在视线端点外与相切情形做几何单元测试,ready,ChatGPT决策/Codex转写,2026-07-22
FML008,Q1-Q5,6.2,"\chi_{ikj}(t)=\prod_{\mathbf q\in\mathcal S}\mathbf1[0\le\lambda_{ikjq}(t)\le1\ \land\ \delta_{ikjq}(t)\le R_s]","\chi_{ikj}:单弹对导弹j的有效遮蔽指示量; \mathcal S:代表点集; R_s:烟幕有效半径10 m; \lambda,\delta:视线量",A08,10_ai_logs/handoffs/H-21D19FE5FD2C/chatgpt_response.md#6.2,模型与方法/有效遮蔽判据,eq:occlusion-indicator,FML006;FML007,全代表点口径为待人工确认的高风险假设,ready,ChatGPT决策/Codex转写,2026-07-22
FML009,Q1-Q5,7.1,"\mathcal I_{ikj}=\{t\in[d_{ik},\min(t^{\mathrm{end}}_{ik},t_j^{\mathrm{hit}})]:\chi_{ikj}(t)=1\},\quad D_{ikj}=\mu(\mathcal I_{ikj})","\mathcal I_{ikj}:单弹有效遮蔽时间集合; D_{ikj}:单弹有效时长; \mu:时间测度; t^{end}_{ik}:烟幕终点; t_j^{hit}:导弹到达原点时刻",A07;A08,10_ai_logs/handoffs/H-21D19FE5FD2C/chatgpt_response.md#7.1,模型与方法/单弹遮蔽区间,eq:single-bomb-interval,FML001;FML005;FML008,采用扫描加边界求根并做步长和容差收敛检查,ready,ChatGPT决策/Codex转写,2026-07-22
FML010,Q3-Q5,7.2,"\mathcal U_j=\bigcup_{i,k:\,y_{ik}=1}\mathcal I_{ikj},\quad T_j=\mu(\mathcal U_j)","\mathcal U_j:导弹j全部遮蔽区间并集; T_j:总有效遮蔽时长; y_{ik}:炸弹是否使用; \mathcal I_{ikj}:单弹区间",A09,10_ai_logs/handoffs/H-21D19FE5FD2C/chatgpt_response.md#7.2,模型与方法/多弹并集,eq:interval-union,FML009,重叠时间只计一次；构造重叠和相邻区间单元测试,ready,ChatGPT决策/Codex转写,2026-07-22
