task_id,run_id,iteration,severity,issue_summary,acceptance_check,status,human_decision,notes
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-VAL-001,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,validation,fail,final_submit_paper too thin,final_submit_paper.md >=2500 chars and >=7 sections,closed,closed,Current paper 11743 chars and 9+ sections; criterion met
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-VAL-002,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,validation,fail,review fail unclosed,No fail-level review row open,closed,closed,Round 2 scorecard has zero fail rows
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-VAL-003,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,validation,fail,score below threshold row2,score >=85%,closed,closed,Row2 score now 10/10
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-VAL-004,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,validation,fail,score below threshold row3,score >=85%,closed,closed,Row3 score now 10/10
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-VAL-005,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,validation,fail,score below threshold row4,score >=85%,closed,closed,Row4 score now 9/10
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-VAL-006,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,validation,fail,score below threshold row5,score >=85%,closed,closed,Row5 score now 9/10
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-VAL-007,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,validation,fail,score below threshold row6,score >=85%,closed,closed,Row6 score now 9/10
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-VAL-008,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,validation,fail,review fail unclosed row7,No fail row,closed,closed,Judge row severity minor (9/10)
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-VAL-009,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,validation,fail,score below threshold row7,score >=85%,closed,closed,Row7 score now 9/10
TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX-CONTRACT-010,TRAIN-20260604_TEXTONLY_STAGE_API_CONTEXTSNAP_CODEX,contract_validation,fail,figure unknown result F001,result_id in result_contract,closed,closed,R01-R04 exist in result_contract
