task_id,run_id,iteration,severity,target_artifact,issue_summary,proposed_action,acceptance_check,status,human_decision,notes
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-001,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\14_contracts\figure_contract.csv,F001,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-002,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\14_contracts\figure_contract.csv,F002,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-003,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\14_contracts\figure_contract.csv,F003,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-004,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\14_contracts\figure_contract.csv,F004,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-005,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'timestamp': '2025-06-04T09:00:00', 'stage': 'intake', 'gate_name': 'human_gate_intake', 'decision': 'pass', 'notes': '模拟人工确认输入材料完整', 'formal_effect': '无'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-006,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'timestamp': '2025-06-04T09:30:00', 'stage': 'task_analysis', 'gate_name': 'human_gate_task_approved', 'decision': 'pass', 'notes': '模拟批准问题分析与任务定义', 'formal_effect': '无'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-007,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'timestamp': '2025-06-04T10:00:00', 'stage': 'model_route', 'gate_name': 'human_gate_model_selected', 'decision': 'pass', 'notes': '模拟确认建模路线', 'formal_effect': '无'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-008,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'timestamp': '2025-06-04T10:30:00', 'stage': 'results_freeze', 'gate_name': 'human_gate_results_frozen', 'decision': 'pass', 'notes': '模拟确认结果冻结', 'formal_effect': '无'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-009,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'timestamp': '2025-06-04T11:00:00', 'stage': 'final_export', 'gate_name': 'human_gate_export', 'decision': 'pass', 'notes': '模拟确认最终导出材料', 'formal_effect': '无'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-010,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\review_scorecard.csv,row 2: 3.0/10.0,Update review scoring only after actual sandbox fixes raise the artifact quality above threshold.,Every review_scorecard row is at least 85% of max_score.,open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-011,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\review_scorecard.csv,row 3: 2.0/10.0,Update review scoring only after actual sandbox fixes raise the artifact quality above threshold.,Every review_scorecard row is at least 85% of max_score.,open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-012,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\review_scorecard.csv,row 4: 2.0/10.0,Update review scoring only after actual sandbox fixes raise the artifact quality above threshold.,Every review_scorecard row is at least 85% of max_score.,open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-013,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\review_scorecard.csv,row 5: 1.0/10.0,Update review scoring only after actual sandbox fixes raise the artifact quality above threshold.,Every review_scorecard row is at least 85% of max_score.,open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-014,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\review_scorecard.csv,row 6: 0.0/10.0,Update review scoring only after actual sandbox fixes raise the artifact quality above threshold.,Every review_scorecard row is at least 85% of max_score.,open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-015,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\review_scorecard.csv,row 7: 2.0/10.0,Update review scoring only after actual sandbox fixes raise the artifact quality above threshold.,Every review_scorecard row is at least 85% of max_score.,open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-016,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\review_scorecard.csv,row 8: 4.0/10.0,Update review scoring only after actual sandbox fixes raise the artifact quality above threshold.,Every review_scorecard row is at least 85% of max_score.,open,,validation_item=training_review_score_below_threshold
TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX-VAL-017,TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_USERAPPROVED_CODEX\workspace\11_review\review_scorecard.csv,row 9: 2.0/10.0,Update review scoring only after actual sandbox fixes raise the artifact quality above threshold.,Every review_scorecard row is at least 85% of max_score.,open,,validation_item=training_review_score_below_threshold
