figure_id,question_id,priority,figure_type,paper_section,core_claim,required,quality_gate,status
F001,Q1-Q5,1,3D scene diagram,问题重述与符号说明,展示冻结场景的初始几何关系，作为后续轨迹图的空间参照。,是,冻结结果、单位、标签、零贡献行与文件路径均已核验,ready
F002,Q1,2,3D trajectory diagram,Q1 结果,Q1 固定策略的释放、起爆与有效遮蔽区间可由冻结记录复现。,是,冻结结果、单位、标签、零贡献行与文件路径均已核验,ready
F003,Q1;Q2,3,interval comparison,Q1–Q2 结果比较,Q2 冻结方案的有效遮蔽时长高于 Q1 固定策略。,是,冻结结果、单位、标签、零贡献行与文件路径均已核验,ready
F004,Q3,4,interval decomposition,Q3 结果与局限,Q3 中第 2、3 枚弹的有效时长为零，三弹并集未超过 Q2 主指标。,是,冻结结果、单位、标签、零贡献行与文件路径均已核验,ready
F005,Q4,5,interval decomposition,Q4 结果与局限,Q4 中 FY2、FY3 的有效时长为零，三机并集未超过 Q2 主指标。,是,冻结结果、单位、标签、零贡献行与文件路径均已核验,ready
F006,Q5,6,bipartite assignment network,Q5 任务分配,Q5 冻结主方案使用 FY1、FY2、FY5 的第 1 枚弹，分别服务 M1、M2、M3。,是,冻结结果、单位、标签、零贡献行与文件路径均已核验,ready
F007,Q5,7,multi-target timeline,Q5 结果,Q5 的三枚导弹各有一段正有效遮蔽区间，三段不表示连续联合保护。,是,冻结结果、单位、标签、零贡献行与文件路径均已核验,ready
F008,Q1;Q2;Q3;Q4,8,dot comparison,跨问题比较,Q2、Q3、Q4 的冻结主指标相同，Q1 较短。,是,冻结结果、单位、标签、零贡献行与文件路径均已核验,ready
F009,Q1;Q2;Q5,9,baseline comparison,结果核验,全代表点连续判定结果与两类基线在所列对象上可逐项比较。,是,冻结结果、单位、标签、零贡献行与文件路径均已核验,ready
F010,Q1;Q2;Q5,10,paired sensitivity slope graph,敏感性分析,A08 的 80% 覆盖半径敏感性随问题和导弹而异。,是,冻结结果、单位、标签、零贡献行与文件路径均已核验,ready
F011,Q1-Q5,11,categorical risk matrix,敏感性与局限,A03、A08、A11 是需要在论文中明确说明的高风险假设或目标口径。,是,冻结结果、单位、标签、零贡献行与文件路径均已核验,ready
