task_id,run_id,iteration,severity,target_artifact,issue_summary,proposed_action,acceptance_check,status,human_decision,notes
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-001,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\12_submission\final_submit_paper.md,问题分析,Refresh final_submit_paper.md from a topic-aligned full_draft and include the missing required section signal.,validate_agent_run.py no longer reports training_final_paper_missing_section_signal.,open,,validation_item=training_final_paper_missing_section_signal
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-002,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\14_contracts\figure_contract.csv,figF001,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-003,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\14_contracts\figure_contract.csv,figF002,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-004,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\14_contracts\figure_contract.csv,figF003,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-005,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\14_contracts\figure_contract.csv,figF004,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-006,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\14_contracts\figure_contract.csv,F001,Make paper figure references match figure_contract ids exactly and register each cited figure with an existing file.,Every `图F###` paper reference has a matching figure_contract.csv row and existing output file.,open,,validation_item=training_paper_unregistered_figure_reference
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-007,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\14_contracts\figure_contract.csv,F003,Make paper figure references match figure_contract ids exactly and register each cited figure with an existing file.,Every `图F###` paper reference has a matching figure_contract.csv row and existing output file.,open,,validation_item=training_paper_unregistered_figure_reference
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-008,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\14_contracts\figure_contract.csv,F004,Make paper figure references match figure_contract ids exactly and register each cited figure with an existing file.,Every `图F###` paper reference has a matching figure_contract.csv row and existing output file.,open,,validation_item=training_paper_unregistered_figure_reference
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-009,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\14_contracts\figure_contract.csv,F005,Make paper figure references match figure_contract ids exactly and register each cited figure with an existing file.,Every `图F###` paper reference has a matching figure_contract.csv row and existing output file.,open,,validation_item=training_paper_unregistered_figure_reference
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-010,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\14_contracts\figure_contract.csv,F006,Make paper figure references match figure_contract ids exactly and register each cited figure with an existing file.,Every `图F###` paper reference has a matching figure_contract.csv row and existing output file.,open,,validation_item=training_paper_unregistered_figure_reference
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-011,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\14_contracts\figure_contract.csv,F007,Make paper figure references match figure_contract ids exactly and register each cited figure with an existing file.,Every `图F###` paper reference has a matching figure_contract.csv row and existing output file.,open,,validation_item=training_paper_unregistered_figure_reference
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-012,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'timestamp': '2025-06-03T10:00:00Z', 'stage': 'intake', 'gate_type': 'human_gate', 'decision': 'approved', 'comment': '模拟摄入阶段闸门确认', 'formal_effect': 'simulated_none'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-013,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'timestamp': '2025-06-03T10:15:00Z', 'stage': 'task_analysis', 'gate_type': 'human_gate', 'decision': 'approved', 'comment': '模拟任务分析闸门确认', 'formal_effect': 'simulated_none'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-014,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'timestamp': '2025-06-03T10:30:00Z', 'stage': 'model_route', 'gate_type': 'human_gate', 'decision': 'approved', 'comment': '模拟模型路径闸门确认', 'formal_effect': 'simulated_none'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-015,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'timestamp': '2025-06-03T11:00:00Z', 'stage': 'paper_draft', 'gate_type': 'human_gate', 'decision': 'approved', 'comment': '模拟论文初稿闸门确认', 'formal_effect': 'simulated_none'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX-VAL-016,TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260603_TEXTONLY_STAGE_API_CONTRACTINTEGRATED_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'timestamp': '2025-06-03T12:00:00Z', 'stage': 'final_export', 'gate_type': 'human_gate', 'decision': 'approved', 'comment': '模拟最终导出闸门确认', 'formal_effect': 'simulated_none'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
