task_id,run_id,iteration,severity,target_artifact,issue_summary,proposed_action,acceptance_check,status,human_decision,notes
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-001,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\14_contracts\figure_contract.csv,F001,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-002,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\14_contracts\figure_contract.csv,F002,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-003,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\14_contracts\figure_contract.csv,F003,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-004,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\14_contracts\figure_contract.csv,F004,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-005,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\14_contracts\figure_contract.csv,F005,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-006,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\14_contracts\figure_contract.csv,F006,Add result_id or evidence_source for every figure_contract row and keep the cited figure file path registered.,Every figure_contract row has result_id or evidence_source and an existing output path.,open,,validation_item=training_figure_contract_missing_evidence_source
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-007,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\14_contracts\figure_contract.csv,F007,Make paper figure references match figure_contract ids exactly and register each cited figure with an existing file.,Every `图F###` paper reference has a matching figure_contract.csv row and existing output file.,open,,validation_item=training_paper_unregistered_figure_reference
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-008,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'gate_id': 'intake_gate', 'gate_name': 'intake', 'simulated': 'yes', 'confirmed_by': 'simulated', 'formal_effect': 'formal_effect=none', 'timestamp': '2026-06-04T10:00:00Z', 'notes': 'simulated human gate for intake'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-009,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'gate_id': 'model_route_gate', 'gate_name': 'model_route', 'simulated': 'yes', 'confirmed_by': 'simulated', 'formal_effect': 'formal_effect=none', 'timestamp': '2026-06-04T10:30:00Z', 'notes': 'simulated human gate for model_route'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX-VAL-010,TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX,validation,fail,E:\math-module\math-workflow\math-workflow\16_learning\agent_runs\TRAIN-20260604_TEXTONLY_STAGE_API_QUEUEFIX_CODEX\workspace\11_review\simulated_human_gate_log.csv,"{'gate_id': 'paper_full_gate', 'gate_name': 'paper_full', 'simulated': 'yes', 'confirmed_by': 'simulated', 'formal_effect': 'formal_effect=none', 'timestamp': '2026-06-04T11:00:00Z', 'notes': 'simulated human gate for paper_full'}",Rewrite simulated gate log rows so formal_effect is exactly none.,Every simulated gate row has formal_effect=none.,open,,validation_item=training_simulated_gate_has_formal_effect
