figure_id,figure_title,question,problem_type,model_family,figure_family,figure_type,template_id,status,data_ready,code_ready,caption_ready,review_score,approved_for_main_text,output_png,output_svg,output_pdf,font_checked,palette_checked,notes
F001,展示冻结场景的初始几何关系，作为后续轨迹图的空间参照。,Q1-Q5,三维时空遮蔽优化,冻结几何仿真,3D scene diagram,3D scene diagram,evidence-v1,ready,true,true,true,4.6,pending_human_gate,08_figures/main_figures/F1_initial_3d_scene.png,08_figures/main_figures/F1_initial_3d_scene.svg,,true,true,几何示意不得被解释为轨迹求解结果。
F002,Q1 固定策略的释放、起爆与有效遮蔽区间可由冻结记录复现。,Q1,三维时空遮蔽优化,冻结几何仿真,3D trajectory diagram,3D trajectory diagram,evidence-v1,ready,true,true,true,4.6,pending_human_gate,08_figures/main_figures/F2_q1_trajectory.png,08_figures/main_figures/F2_q1_trajectory.svg,,true,true,干扰弹曲线仅作空间关系示意，时长以冻结 CSV 为准。
F003,Q2 冻结方案的有效遮蔽时长高于 Q1 固定策略。,Q1;Q2,三维时空遮蔽优化,冻结几何仿真,interval comparison,interval comparison,evidence-v1,ready,true,true,true,4.6,pending_human_gate,08_figures/main_figures/F3_q1_q2_intervals.png,08_figures/main_figures/F3_q1_q2_intervals.svg,,true,true,仅比较冻结方案，不声明全局最优。
F004,Q3 中第 2、3 枚弹的有效时长为零，三弹并集未超过 Q2 主指标。,Q3,三维时空遮蔽优化,冻结几何仿真,interval decomposition,interval decomposition,evidence-v1,ready,true,true,true,4.6,pending_human_gate,08_figures/main_figures/F4_q3_bomb_intervals.png,08_figures/main_figures/F4_q3_bomb_intervals.svg,,true,true,不得省略零贡献行或暗示多弹协同增益。
F005,Q4 中 FY2、FY3 的有效时长为零，三机并集未超过 Q2 主指标。,Q4,三维时空遮蔽优化,冻结几何仿真,interval decomposition,interval decomposition,evidence-v1,ready,true,true,true,4.6,pending_human_gate,08_figures/main_figures/F5_q4_uav_intervals.png,08_figures/main_figures/F5_q4_uav_intervals.svg,,true,true,不得将参与投放解释为形成有效遮蔽或额外收益。
F006,Q5 冻结主方案使用 FY1、FY2、FY5 的第 1 枚弹，分别服务 M1、M2、M3。,Q5,三维时空遮蔽优化,冻结几何仿真,bipartite assignment network,bipartite assignment network,evidence-v1,ready,true,true,true,4.6,pending_human_gate,08_figures/main_figures/F6_q5_assignment.png,08_figures/main_figures/F6_q5_assignment.svg,,true,true,未连边无人机和弹位表示未使用，不得补画。
F007,Q5 的三枚导弹各有一段正有效遮蔽区间，三段不表示连续联合保护。,Q5,三维时空遮蔽优化,冻结几何仿真,multi-target timeline,multi-target timeline,evidence-v1,ready,true,true,true,4.6,pending_human_gate,08_figures/main_figures/F7_q5_missile_intervals.png,08_figures/main_figures/F7_q5_missile_intervals.svg,,true,true,时间轴间隙必须保留，避免误读为连续保护。
F008,Q2、Q3、Q4 的冻结主指标相同，Q1 较短。,Q1;Q2;Q3;Q4,三维时空遮蔽优化,冻结几何仿真,dot comparison,dot comparison,evidence-v1,ready,true,true,true,4.6,pending_human_gate,08_figures/main_figures/F8_q1_q4_metrics.png,08_figures/main_figures/F8_q1_q4_metrics.svg,,true,true,相等的数值不应被解释为因果或协同效果。
F009,全代表点连续判定结果与两类基线在所列对象上可逐项比较。,Q1;Q2;Q5,三维时空遮蔽优化,冻结几何仿真,baseline comparison,baseline comparison,evidence-v1,ready,true,true,true,4.6,pending_human_gate,08_figures/main_figures/F9_model_baselines.png,08_figures/main_figures/F9_model_baselines.svg,,true,true,基线仅作口径对照，不得当作额外优化结论。
F010,A08 的 80% 覆盖半径敏感性随问题和导弹而异。,Q1;Q2;Q5,三维时空遮蔽优化,冻结几何仿真,paired sensitivity slope graph,paired sensitivity slope graph,evidence-v1,ready,true,true,true,4.6,pending_human_gate,08_figures/main_figures/F10_a08_sensitivity.png,08_figures/main_figures/F10_a08_sensitivity.svg,,true,true,仅代表已检验的 A08 情景，不外推到其他口径。
F011,A03、A08、A11 是需要在论文中明确说明的高风险假设或目标口径。,Q1-Q5,三维时空遮蔽优化,冻结几何仿真,categorical risk matrix,categorical risk matrix,evidence-v1,ready,true,true,true,4.6,pending_human_gate,08_figures/main_figures/F11_assumption_matrix.png,08_figures/main_figures/F11_assumption_matrix.svg,,true,true,矩阵是验证摘要，不能替代数值表和边界条件。
