figure_id,question_id,core_claim,evidence_source,result_id,panel_plan,chart_type,backend,script_path,output_svg,output_png,output_pdf,dpi,used_in_section,latex_label,caption_source,quality_score,review_risk,status,owner,last_checked
F001,Q1-Q5,展示冻结场景的初始几何关系，作为后续轨迹图的空间参照。,00_problem/problem_statement.md;06_code/src/constants.py;07_results/frozen/frozen_manifest.json,RES-Q1-PRIMARY_DURATION_M1;RES-Q5-OBJECTIVE_TOTAL_DURATION,单面板：目标、三枚导弹与五架无人机初始位置。,3D scene diagram,matplotlib 3.9.2,06_code/generate_evidence.py,08_figures/main_figures/F1_initial_3d_scene.svg,08_figures/main_figures/F1_initial_3d_scene.png,,300,问题重述与符号说明,fig:f001,10_ai_logs/handoffs/H-AC982523FD2E/chatgpt_response.md,4.6,几何示意不得被解释为轨迹求解结果。,ready,Codex,2026-07-22T12:44:07+00:00
F002,Q1,Q1 固定策略的释放、起爆与有效遮蔽区间可由冻结记录复现。,07_results/frozen/q1_results.csv;07_results/frozen/metrics_summary.csv;06_code/src/constants.py,RES-Q1-PRIMARY_DURATION_M1,单面板：FY1、M1、干扰弹释放点和起爆点。,3D trajectory diagram,matplotlib 3.9.2,06_code/generate_evidence.py,08_figures/main_figures/F2_q1_trajectory.svg,08_figures/main_figures/F2_q1_trajectory.png,,300,Q1 结果,fig:f002,10_ai_logs/handoffs/H-AC982523FD2E/chatgpt_response.md,4.6,干扰弹曲线仅作空间关系示意，时长以冻结 CSV 为准。,ready,Codex,2026-07-22T12:44:07+00:00
F003,Q1;Q2,Q2 冻结方案的有效遮蔽时长高于 Q1 固定策略。,07_results/frozen/q1_results.csv;07_results/frozen/q2_results.csv;07_results/frozen/metrics_summary.csv,RES-Q1-PRIMARY_DURATION_M1;RES-Q2-PRIMARY_DURATION_M1,单面板：Q1 与 Q2 的有效区间及对应时长。,interval comparison,matplotlib 3.9.2,06_code/generate_evidence.py,08_figures/main_figures/F3_q1_q2_intervals.svg,08_figures/main_figures/F3_q1_q2_intervals.png,,300,Q1–Q2 结果比较,fig:f003,10_ai_logs/handoffs/H-AC982523FD2E/chatgpt_response.md,4.6,仅比较冻结方案，不声明全局最优。,ready,Codex,2026-07-22T12:44:07+00:00
F004,Q3,Q3 中第 2、3 枚弹的有效时长为零，三弹并集未超过 Q2 主指标。,07_results/frozen/q3_results.csv;07_results/frozen/metrics_summary.csv,RES-Q3-PRIMARY_DURATION_M1,四行：三枚弹逐项区间及三弹并集；零贡献行保留。,interval decomposition,matplotlib 3.9.2,06_code/generate_evidence.py,08_figures/main_figures/F4_q3_bomb_intervals.svg,08_figures/main_figures/F4_q3_bomb_intervals.png,,300,Q3 结果与局限,fig:f004,10_ai_logs/handoffs/H-AC982523FD2E/chatgpt_response.md,4.6,不得省略零贡献行或暗示多弹协同增益。,ready,Codex,2026-07-22T12:44:07+00:00
F005,Q4,Q4 中 FY2、FY3 的有效时长为零，三机并集未超过 Q2 主指标。,07_results/frozen/q4_results.csv;07_results/frozen/metrics_summary.csv,RES-Q4-PRIMARY_DURATION_M1,四行：FY1–FY3 逐项区间及三机并集；零贡献行保留。,interval decomposition,matplotlib 3.9.2,06_code/generate_evidence.py,08_figures/main_figures/F5_q4_uav_intervals.svg,08_figures/main_figures/F5_q4_uav_intervals.png,,300,Q4 结果与局限,fig:f005,10_ai_logs/handoffs/H-AC982523FD2E/chatgpt_response.md,4.6,不得将参与投放解释为形成有效遮蔽或额外收益。,ready,Codex,2026-07-22T12:44:07+00:00
F006,Q5,Q5 冻结主方案使用 FY1、FY2、FY5 的第 1 枚弹，分别服务 M1、M2、M3。,07_results/frozen/q5_results.csv;07_results/frozen/metrics_summary.csv,RES-Q5-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M2;RES-Q5-PRIMARY_DURATION_M3;RES-Q5-OBJECTIVE_TOTAL_DURATION;RES-Q5-OBJECTIVE_MINIMUM_DURATION,二部网络：五架无人机、三枚导弹和三条已使用分配边。,bipartite assignment network,matplotlib 3.9.2,06_code/generate_evidence.py,08_figures/main_figures/F6_q5_assignment.svg,08_figures/main_figures/F6_q5_assignment.png,,300,Q5 任务分配,fig:f006,10_ai_logs/handoffs/H-AC982523FD2E/chatgpt_response.md,4.6,未连边无人机和弹位表示未使用，不得补画。,ready,Codex,2026-07-22T12:44:07+00:00
F007,Q5,Q5 的三枚导弹各有一段正有效遮蔽区间，三段不表示连续联合保护。,07_results/frozen/q5_results.csv;07_results/frozen/metrics_summary.csv,RES-Q5-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M2;RES-Q5-PRIMARY_DURATION_M3,三行：M1、M2、M3 的有效遮蔽时间轴。,multi-target timeline,matplotlib 3.9.2,06_code/generate_evidence.py,08_figures/main_figures/F7_q5_missile_intervals.svg,08_figures/main_figures/F7_q5_missile_intervals.png,,300,Q5 结果,fig:f007,10_ai_logs/handoffs/H-AC982523FD2E/chatgpt_response.md,4.6,时间轴间隙必须保留，避免误读为连续保护。,ready,Codex,2026-07-22T12:44:07+00:00
F008,Q1;Q2;Q3;Q4,Q2、Q3、Q4 的冻结主指标相同，Q1 较短。,07_results/frozen/metrics_summary.csv,RES-Q1-PRIMARY_DURATION_M1;RES-Q2-PRIMARY_DURATION_M1;RES-Q3-PRIMARY_DURATION_M1;RES-Q4-PRIMARY_DURATION_M1,单面板：Q1–Q4 的 M1 有效遮蔽时长点图。,dot comparison,matplotlib 3.9.2,06_code/generate_evidence.py,08_figures/main_figures/F8_q1_q4_metrics.svg,08_figures/main_figures/F8_q1_q4_metrics.png,,300,跨问题比较,fig:f008,10_ai_logs/handoffs/H-AC982523FD2E/chatgpt_response.md,4.6,相等的数值不应被解释为因果或协同效果。,ready,Codex,2026-07-22T12:44:07+00:00
F009,Q1;Q2;Q5,全代表点连续判定结果与两类基线在所列对象上可逐项比较。,07_results/frozen/metrics_summary.csv;07_results/result_freeze_validation/baseline_and_sensitivity.csv,RES-Q1-PRIMARY_DURATION_M1;RES-Q2-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M2;RES-Q5-PRIMARY_DURATION_M3,单面板：主模型、中心点基线、固定网格基线的散点对照。,baseline comparison,matplotlib 3.9.2,06_code/generate_evidence.py,08_figures/main_figures/F9_model_baselines.svg,08_figures/main_figures/F9_model_baselines.png,,300,结果核验,fig:f009,10_ai_logs/handoffs/H-AC982523FD2E/chatgpt_response.md,4.6,基线仅作口径对照，不得当作额外优化结论。,ready,Codex,2026-07-22T12:44:07+00:00
F010,Q1;Q2;Q5,A08 的 80% 覆盖半径敏感性随问题和导弹而异。,07_results/frozen/metrics_summary.csv;07_results/result_freeze_validation/baseline_and_sensitivity.csv,RES-Q1-PRIMARY_DURATION_M1;RES-Q2-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M1;RES-Q5-PRIMARY_DURATION_M2;RES-Q5-PRIMARY_DURATION_M3,单面板：各对象从全代表点判定到 80% 半径的数值变化。,paired sensitivity slope graph,matplotlib 3.9.2,06_code/generate_evidence.py,08_figures/main_figures/F10_a08_sensitivity.svg,08_figures/main_figures/F10_a08_sensitivity.png,,300,敏感性分析,fig:f010,10_ai_logs/handoffs/H-AC982523FD2E/chatgpt_response.md,4.6,仅代表已检验的 A08 情景，不外推到其他口径。,ready,Codex,2026-07-22T12:44:07+00:00
