result_id,question_id,model_id,metric_name,metric_value,unit,source_file,source_row_or_cell,code_file,run_id,random_seed,assumption_ids,used_by_figure_ids,used_by_claim_ids,freeze_status,freeze_time,owner,notes
R01,Q1,linear_OLS,coefficient_Intercept,1.067247,dimensionless,07_results/q1_coefficients.csv,row 1,06_code/q1_linear_model.py,run_001,deterministic,F01,,,frozen,2026-06-04T12:00:00Z,system,validated source value 1.067247 from q1_coefficients.csv row 1; OLS intercept coefficient
R02,Q1,linear_OLS,coefficient_R,-1.821404,dimensionless,07_results/q1_coefficients.csv,row 2,06_code/q1_linear_model.py,run_001,deterministic,F01,,,frozen,2026-06-04T12:00:00Z,system,validated source value -1.821404 from q1_coefficients.csv row 2; R channel coefficient
R03,Q1,linear_OLS,coefficient_G,0.995618,dimensionless,07_results/q1_coefficients.csv,row 3,06_code/q1_linear_model.py,run_001,deterministic,F01,,,frozen,2026-06-04T12:00:00Z,system,validated source value 0.995618 from q1_coefficients.csv row 3; G channel coefficient
R04,Q1,linear_OLS,coefficient_B,5.630987,dimensionless,07_results/q1_coefficients.csv,row 4,06_code/q1_linear_model.py,run_001,deterministic,F01,,,frozen,2026-06-04T12:00:00Z,system,validated source value 5.630987 from q1_coefficients.csv row 4; B channel coefficient
R05,Q1,linear_OLS,R_squared,0.997747,dimensionless,07_results/q1_metrics.csv,row 1,06_code/q1_linear_model.py,run_001,deterministic,F01,,,frozen,2026-06-04T12:00:00Z,system,validated source value 0.997747 from q1_metrics.csv row 1; OLS R-squared
R06,Q1,linear_OLS,RMSE,0.067418,mg/L,07_results/q1_metrics.csv,row 2,06_code/q1_linear_model.py,run_001,deterministic,F01,,,frozen,2026-06-04T12:00:00Z,system,validated source value 0.067418 from q1_metrics.csv row 2; OLS RMSE
R07,Q2,linear_OLS,CV_RMSE_LOOCV,0.0748,mg/L,07_results/q2_comparison.csv,row 1,06_code/q2_model_comparison.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,LOOCV cross-validated RMSE for linear OLS
R08,Q2,polynomial_degree2,CV_RMSE_LOOCV,0.347,mg/L,07_results/q2_comparison.csv,row 2,06_code/q2_model_comparison.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Polynomial degree-2 interaction model LOOCV RMSE; overfitting evident
R09,Q2,ridge,CV_RMSE_LOOCV,0.098,mg/L,07_results/q2_comparison.csv,row 3,06_code/q2_model_comparison.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Ridge regression (alpha=0.1) LOOCV RMSE
R10,Q3,linear_OLS,prediction_T01,1.61,mg/L,07_results/q3_predictions.csv,row 1,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Point prediction for T01
R11,Q3,linear_OLS,lower_95PI_T01,1.35,mg/L,07_results/q3_predictions.csv,row 1,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Lower bound of 95% prediction interval for T01
R12,Q3,linear_OLS,upper_95PI_T01,1.87,mg/L,07_results/q3_predictions.csv,row 1,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Upper bound of 95% PI for T01
R13,Q3,linear_OLS,prediction_T02,3.17,mg/L,07_results/q3_predictions.csv,row 2,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Point prediction for T02
R14,Q3,linear_OLS,lower_95PI_T02,2.90,mg/L,07_results/q3_predictions.csv,row 2,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Lower bound of 95% PI for T02
R15,Q3,linear_OLS,upper_95PI_T02,3.44,mg/L,07_results/q3_predictions.csv,row 2,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Upper bound of 95% PI for T02
R16,Q3,linear_OLS,prediction_T03,4.38,mg/L,07_results/q3_predictions.csv,row 3,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Point prediction for T03
R17,Q3,linear_OLS,lower_95PI_T03,4.10,mg/L,07_results/q3_predictions.csv,row 3,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Lower bound of 95% PI for T03
R18,Q3,linear_OLS,upper_95PI_T03,4.66,mg/L,07_results/q3_predictions.csv,row 3,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Upper bound of 95% PI for T03
R19,Q1,linear_OLS,SE_Intercept,0.05,dimensionless,07_results/q1_stats.csv,row 1,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Standard error of intercept
R20,Q1,linear_OLS,SE_R,0.08,dimensionless,07_results/q1_stats.csv,row 2,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Standard error of R coefficient
R21,Q1,linear_OLS,SE_G,0.15,dimensionless,07_results/q1_stats.csv,row 3,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Standard error of G coefficient
R22,Q1,linear_OLS,SE_B,0.20,dimensionless,07_results/q1_stats.csv,row 4,06_code/q3_uncertainty.py,run_002,deterministic,,,,frozen,2026-06-04T14:00:00Z,system,Standard error of B coefficient
